"Make, Model","2016, January","2016, October","2016, November","2016, December","2017, January","2017, February","2017, August","2017, October","2017, November","2017, December","2018, January","2018, February","2018, March","2018, April","2018, May","2018, July","2018, October","2019, January","2019, September","2019, November","2020, February"
Audi A4 B8.5 3.0 TFSI (2012-2014),,,30k,,,,25k,,,24k,,,,,,,,,,,20k
Audi A5 3.0 TFSI 2012,,,,,30k,,30k,,,25k,,,,,,25k,,,,,28k
Audi A6 3.0 TDI 313 hp,45k,,,,28k,,26k,,,22k,22k,20k,,,,,,,,,
Audi A7 3.0 TFSI  (2010 - 2012) < 100k km,,,,,26k,,26k,,,24k,,,,,25k,24k,,,,,
Audi A8 4.0 TFSI,60k,,,,40k,,36k,,,35k,30k,,,,30k,,,,30k,,
Audi R8 V10 manual < 100k km,,,,,80k,,77k,,75k,75k,,,87k,80k,,78k,,73k,61k,61k,
Audi R8 V8 manual < 100k km,,,,,50k,,50k,,55k,55k,,,57k,50k,50k,45k,,45k,43k,43k,
Audi RS5 (2010 - 2011) < 100k km,,40k,,35k,,35k,30k,,33k,33k,34k,,34k,,,35k,,,29k,28k,30k
Audi RS7,100k,,,,70k,,70k,,60k,62k,65k,60k,,60k,,60k,,53k,49k,49k,45k
Audi S3 sedan,,,35k,,,35k,30k,,,30k,,30k,,,30k,,,,25k,,
Audi S4 B9,,,,,,,,,,,,,50k,,52k,,,,40k,,
Audi S4 B8 < 150k km,,22k,,,25k,,23k,,,20k,20k,,,,,,,19k,,,18k
Audi S4 B8.5 < 100k km (2011-2016),,,,,,,,,,,,,,,27k,,28k,,,,
Audi S5 2016=>,,,,,,,,,,,,,50k,,,50k,46k,,32k???,40k,39k
Audi S5 3.0 TFSI 2011 < 150k km,,,,,35k,,30k,30k,,25k,,,,,27k,,,,,,22k
Audi S5 4.2 (2007 - 2011),,20k,,20k,,,17k,20k,,18k,,15k,,,13k,,,,,,
Audi S5 4.2 (2007 - 2011) < 120k km,,,,,,,,,,,,,,,15k,15k,,18k,17k,,16k
Audi S5 Sportback 3.0 TFSI (2010 - 2011),,,30k,,,30k,,,,,,,,,,,,,,,
Audi S6 C6 (2006 - 2008),,,,20k,,17k,17k,,,,,,,,17k,,,,,,
Audi S6 C6 (2008 - 2011),,,,,,23k,25k,,,,,,,,20k,,,,,,
Audi S6 C7 <100k km,60k,,45k - 50k,40k,40k,,40k,40k,40k,38k,40k,,40k,,40k,44k,40k,37k,,,35k
Audi S7 < 100k km,60k,,,,45k,,43k,,42k,40k,,,40k,,40k,40k,40k,,34k,,34k
Audi S8 D4,70k,,50k,,45k - 50k,,45k,,45k,43k,,,45k,,,,40k,,30k,,32k
Audi S8 D3 (2006 - 2007),,,,,,20k,15k,,,,,13k,,,11k,,,10k,10k,,
Audi TT RS 2010 < 100k km,,,30k,,,,28k,,,30k,32k,,,,30k,,28k,27k,,27k,26k
Audi TT S 2008 < 100k km,,,20k,,20k,,18k,,,18k,,,,,17k,,20k,,,18k,18k
BMW 335i F30,,,,,30k,,25k,,,25k,,,,,25k,,22k,,20k,,19k
BMW 550i xDrive Mpack F10,,,,,35k,,25k,,,,,,,,26k,,,,,,17k
BMW 650i (2011 - 2015),,,,,37k,,35k,,,35k,,31k,,,33k,,,,25k,,22k
Ford Mustang 5.0,,,30k,,,,30k,,,,,,,,,,,,,,29k
Nissan GT-R Black Edition (2009 - 2011),,,50k,,,50k,50k,,,50k,,50k,,,50k,,,50k,,47k,
Porsche Cayman manual 2005,,,23k,,,22k,21k,,,,,20k,,,,,,,,,
Porsche Cayman S manual 2005,,,25k,,,25k,25k,,,,,22k,,,,,,,,,
Audi TTS 2014 Stronic,,,,,,,,40k,,39k,,38k,,,36k,,,34k,29k,29k,
Audi TT 2.0 stronic q 2014,,,,,,,,35k,,30k,,30k,,,32k,30k,,,,25k,
Audi RS6 C7,,,,,,,,,60k,,,,60k,,,60k,54k,,,,40k
BMW M5 F10 <100k km,,,,,,,,,45k,45k,,,42k,,42k,,,,40k,,39k
Audi R8 V10 2015>=,,,,,,,,,,105k,,,,,114k,108k,,105k,,,90k
Audi R8 V10 plus 2015>=,,,,,,,,,,115k,,115k,115k,115k,120k,115k,,105k,,,94k
Lamborghini Huracán,,,,,,,,,,170k,,170k,,160k,,160k,,160k,145k,145k,150k
Ferrari 458 Italia,,,,,,,,,,130k,,130k,,120k,,125k,,120k,120k,,120k
Jaguar F-Type R 5.0 V8 ,,,,,,,,,,54k,,,59k,58k,,60k,,56k,,,
Jaguar F-Type V6,,,,,,,,,,,,,,,43k,44k,,40k,35k,,35k
Porsche 911(991) Carrera S,,,,,,,,,,68k,,,,,,,,60k,,,
Porsche 911(991) Carrera 4S,,,,,,,,,,70k,,,,,,,,70k,,,
Porsche 911(991) Turbo S,,,,,,,,,,125k,,,,,,,,110k,,,
Ferrari 488 GTB,,,,,,,,,,,,,200k,,,200k,,180k,165k,,167k
BMW 253i M <100k km,,,,,,,,,,,,,,30k,,,27k,,,,23k
Mercedes Benz AMG GT,,,,,,,,,,,,,,85k,,,,,70k,,70k
Alfa Romeo Giulia Quadrifoglio,,,,,,,,,,,,,,60k,,55k,,,,,45k
BMW M4,,,,,,,,,,,,,,50k,,49k,45k,,37k,,45k
Porsche Cayman S 2013 PDK,,,,,,,,,,,,,,52k,,,,,40k,,
McLaren 570S,,,,,,,,,,,,,,,,126k,140k,140k,130k,128k,
McLaren 540C,,,,,,,,,,,,,,,,140k,134k,150k,130k,128k,
