brand,model,buy,price,,leather,,armors,chest,,,pockets,notes
T-FASTER AIR,http://aktivcentr.lv/lv/moto/ekipejums-1/jakas/t-faster-black-m-alpinestars-motojaka-28204319,185,https://www.alpinestars.com/t-faster-air-jacket,,,CE Level 1,Jā,,,,
T-SP-1 WATERPROOF,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/Tekstila_moto_jaka/p-12322-tsp1_waterproof_tekstila_moto_jaka,"194,7",https://www.alpinestars.com/t-sp-1-waterproof-jacket,,,CE Level 1,Jā,,,1,
Dainese RAZON PELLE,https://www.ss.lv/msg/lv/transport/moto-transport/equipment/trousers-jackets/nlbmi.html,230,https://www.dainese.com/row/en/motorbike/jackets/leather/razon-pelle-201533651.html,"50, Lietota, Level 1",,CE Level 1,Nē,,,1,
PONY C2 pants,https://www.dainese.com/row/en/promotions/motorbike/pony-c2-leather-pants-201553686.html?dwvar_201553686_color=BLACK&cgid=sale-motorbike,244,https://www.dainese.com/row/en/promotions/motorbike/pony-c2-leather-pants-201553686.html?dwvar_201553686_color=BLACK&cgid=sale-motorbike,,,,,,,,
Alpinestars bikses,https://www.ss.lv/msg/lv/transport/moto-transport/equipment/trousers-jackets/nhexm.html,250,,,,,,,,,
SUPER SPEED TEX,https://emoto.lv/lv/veikals/moto_ekipejums/jakaskombinezoni/tekstila_jakas/p-51987-tekstila_jaka_super_speed_tex,259,https://www.dainese.com/row/en/motorbike/jackets/textile/super-speed-tex-201735143.html?dwvar_201735143_color=BLACK%2FWHITE%2FRED&cgid=#q=super+speed+tex&start=1,,,CE Level 1,Jā,Aluminium inserts on shoulders,,"1 inner pocket, 2 outer pockets",
T-GP R V2,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/Tekstila_moto_jaka/p-12301-tgr_r_v2_drystar_tekstila_moto_jaka,281,https://www.alpinestars.com/t-gp-r-v2-waterproof-jacket,"206,46 from FC-Moto",,CE Level 2,Jā,"19,67","261,33",1,
ASSEN ,https://emoto.lv/lv/veikals/moto_ekipejums/bikses/adas_bikses/p-50160-adas_bikses_assen_melnas_48-selected&9=50&11=melna,296,https://www.dainese.com/row/en/motorbike/pants/leather/assen-leather-pants--201553708.html?dwvar_201553708_color=BLACK%2FANTHRACITE,Charge cowhide leather,,CE Level 1,,,,,
DINAMICA AIR D-DRY,https://emoto.lv/lv/veikals/moto_ekipejums/jakaskombinezoni/tekstila_jakas/p-54218-tekstila_jaka_dinamica_air_ddry,341,https://www.dainese.com/row/en/motorbike/jackets/d-dry%C2%AE/dinamica-air-d-dry-jacket-201654612.html?dwvar_201654612_color=BLACK%2FFIRE-BLUE%2FFLUO-YELLOW,,,CE Level 1,Jā,Replaceable aluminum plate on shoulder ,Thermoformed shoulders covered in 3D-Stone fabric,1,
ALIEN,https://www.dainese.com/row/en/motorbike/pants/leather/-alien-leather-pants-201553672.html?dwvar_201553672_color=BLACK&cgid=,"246,97",https://www.dainese.com/row/en/motorbike/pants/leather/-alien-leather-pants-201553672.html?dwvar_201553672_color=BLACK,D-Skin cowhide leather,,,,,,,
Racing 3,https://veikals.motosports.lv/index.php?route=product/product&path=1947_1977_2117_2119&product_id=78968,"361,9",https://www.dainese.com/row/en/motorbike/jackets/leather/racing-3-leather-jacket-201533788.html,"489,95 @ Dainese","288,99 from FC-Moto",,,,,,
SPIDI Evorider 2,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/adas_moto_jakas/p-14107-evorider_2_adas_moto_jakas,379,https://www.spidi.com/eu_en/evorider-2,"Cowhide, 1.1/1.3 mm thick",,CE Level 1,Nē,"37,9","341,1",,
GP Plus R V2,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/adas_moto_jakas/p-11418-gp_plus_r_v2_adas_moto_jaka-selected,"384,9828",https://www.alpinestars.com/products/road/racing/jackets/gp-plus-r-v2-leather-jacket-1,"1,3 mm",Aivim,CE Level 1,Jā,,,2? Waterproof x1,EUR ar klienta karti 7% atlaide
VERTEX GT,https://www.fc-moto.de/epages/fcm.sf/en_GB/?ObjectID=915427337&ViewAction=ViewProduct,"399,99",https://www.revitsport.com/en/trousers-vertex-gt-44906.html#101,Monaco Performance cowhide,"339,99 from FC-Moto",CE Level 2,,,,,
Revit Glide,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/revit-leather-jackets-lv-lv/leather-jacket-revit-glide-black-lv-lv.html,408,https://www.revitsport.com/en/jacket-glide-47226.html#101,"339,99 no FC-Moto",,CE Level 2,Jā,,,1 or more,Racing fit.
Racing 3,https://emoto.lv/lv/veikals/moto_ekipejums/jakaskombinezoni/adas_jakas/p-54191-adas_jaka_racing_3_shorttall,"431,1",https://www.dainese.com/row/en/motorbike/jackets/leather/racing-3-leather-jacket-201533788.html,1.3mm Tutu leather ,Better than assen ,CE Level 1,Jā,Replaceable aluminum plate on shoulder ,Thermoformed base shoulder,0,2 outer pockets
Revit Convex,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/revit-leather-jackets-lv-lv/leather-jacket-revit-convex-black-white-lv-lv.html,439,https://www.revitsport.com/en/jacket-convex-45796.html#160,Monaco performance cowhide,"365,49 no FC-Moto",CE Level 2,Nē,,,1 or more,Race fit.
GP PLUS R V3,https://www.fc-moto.de/epages/fcm.sf/en_GB/?ObjectID=162857642&ViewAction=ViewProduct,"455,95",https://www.alpinestars.com/products/road/racing/jackets/gp-plus-r-v3-leather-jacket,1.3mm genuine bovine leather,"387,55 from FC-Moto",CE Level 1,Jā,,,3,
Revit Vertex GT ,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/revit-leather-jackets-lv-lv/leather-jacket-revit-vertex-gt-black-white-lv-lv.html,459,https://www.revitsport.com/en/jacket-vertex-gt-44621.html#160,Monaco performance cowhide,"382,49 no FC-Moto",CE Level 2,Jā,,,1 or more,Race fit.
Spidi Bolide ,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/adas_moto_jakas/p-12999-bolide_adas_moto_jaka,474,https://www.spidi.com/eu_en/bolide-leather,1.1 to 1.2 mm thick,,CE Level 1,Jā,"47,4","426,6",,
FIGHTER ,https://emoto.lv/lv/veikals/moto_ekipejums/jakaskombinezoni/adas_jakas/p-48140-adas_jaka_fighter,503,https://www.dainese.com/row/en/motorbike/jackets/leather/fighter-leather-jacket-201533754.html?dwvar_201533754_color=BLACK%2FBLACK,"459,85‬ no FC-Moto",,CE Level 1,Jā,Shoulder with aluminium insert,,4,
Atem V3,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/alpinestars-leather-jackets-lv-lv/leather-jacket-alpinestars-atem-v3-black-lv-lv.html,509,https://www.alpinestars.com/atem-v3-leather-jacket-fa18,"1,3 mm",,CE Level 1,Jā,,,,
Revit Hyperspeed Air,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/revit-leather-jackets-lv-lv/leather-jacket-revit-hyperspeed-air-black-grey-lv-lv.html,510,https://www.revitsport.com/en/jacket-hyperspeed-air-47248.html#115,Monaco performance cowhide,,???,Jā,,,1 or more,
AVRO 4,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/dainese-leather-jackets-lv-lv/leather-jacket-dainese-avro-4-black-white-lv-lv.html,512,https://www.dainese.com/row/en/motorbike/jackets/leather/avro-4-leather-jacket-201533810.html?dwvar_201533810_color=LAVA-RED%2FWHITE%2FAZZURRO-S&cgid=#q=Dainese+Avro+4&start=1,Tutu cowhide leather,,CE Level 1,Jā,Thermoformed small shoulders with interchangeable aluminum plates,,,
Revit Hyperspeed Pro,https://motoday.lt/motorcycle-jackets-lv-lv/leather-jackets-lv-lv/revit-leather-jackets-lv-lv/leather-jacket-revit-hyperspeed-pro-black-white-lv-lv.html,561,https://www.revitsport.com/en/jacket-hyperspeed-pro-47270.html#160,perforated cowhide,"467,49 no FC-Moto",CE Level 2,Jā,,,1 or more,"Elbow sliders, racing fit."
SPECTER ,https://4speed.lv/lv/moto-veikals/moto_ekipejums/moto_jakas/adas_moto_jakas/p-14656-specter_techair_adas_moto_jakas,611,https://www.alpinestars.com/specter-leather-jacket-tech-air-compatible,,,CE Level 1,Jā,"42,77","568,23",,
Super Speed 3,https://motoday.lt/leather-jacket-dainese-super-speed-3-black-white-lv-lv.html?search=Super%20Speed%203,664,https://www.dainese.com/row/en/motorbike/jackets/leather/super-speed-3-leather-jacket-201533808.html,D-skin 2.0,"565,20 no FC-Moto",CE Level 2,Jā,Replaceable aluminum plate on shoulder ,Thermoformed base shoulders,1,Elbow sliders.
